year,holiday_id,hebrew_date,gregorian_date
2002,hoshana_raba,"כ""א תשרי",2002-09-27
2003,pesach,"ט""ו ניסן",2003-04-17
2003,pesach_7,"כ""א ניסן",2003-04-23
2003,yom_haatzmaut,ה' אייר,2003-05-07
2003,shavuot,ו' סיוון,2003-06-06
2003,rosh_hashana_1,א' תשרי,2003-09-27
2003,rosh_hashana_2,ב' תשרי,2003-09-28
2003,yom_kippur,י' תשרי,2003-10-06
2003,sukkot,"ט""ו תשרי",2003-10-11
2003,hoshana_raba,"כ""א תשרי",2003-10-17
2004,pesach,"ט""ו ניסן",2004-04-06
2004,pesach_7,"כ""א ניסן",2004-04-12
2004,yom_haatzmaut,ה' אייר,2004-04-27
2004,shavuot,ו' סיוון,2004-05-26
2004,rosh_hashana_1,א' תשרי,2004-09-16
2004,rosh_hashana_2,ב' תשרי,2004-09-17
2004,yom_kippur,י' תשרי,2004-09-25
2004,sukkot,"ט""ו תשרי",2004-09-30
2004,hoshana_raba,"כ""א תשרי",2004-10-06
2005,pesach,"ט""ו ניסן",2005-04-24
2005,pesach_7,"כ""א ניסן",2005-04-30
2005,yom_haatzmaut,ה' אייר,2005-05-12
2005,shavuot,ו' סיוון,2005-06-13
2005,rosh_hashana_1,א' תשרי,2005-10-04
2005,rosh_hashana_2,ב' תשרי,2005-10-05
2005,yom_kippur,י' תשרי,2005-10-13
2005,sukkot,"ט""ו תשרי",2005-10-18
2005,hoshana_raba,"כ""א תשרי",2005-10-24
2006,pesach,"ט""ו ניסן",2006-04-13
2006,pesach_7,"כ""א ניסן",2006-04-19
2006,yom_haatzmaut,ה' אייר,2006-05-03
2006,shavuot,ו' סיוון,2006-06-02
2006,rosh_hashana_1,א' תשרי,2006-09-23
2006,rosh_hashana_2,ב' תשרי,2006-09-24
2006,yom_kippur,י' תשרי,2006-10-02
2006,sukkot,"ט""ו תשרי",2006-10-07
2006,hoshana_raba,"כ""א תשרי",2006-10-13
2007,pesach,"ט""ו ניסן",2007-04-03
2007,pesach_7,"כ""א ניסן",2007-04-09
